private_key,name,proxy
0x5c145fbf4d8058b524f91200bd037ab52b94a0fb0fee5925f7cd54948240275c,Ivan Petrovich,ivan:0123456@127.11.101.88
0x8c72b64b7f4127c1df425a83afe09fa1126372cc9d6bb92d03849bfb22d987d4,Ekaterina Ivanovna,eka:0123456@127.11.101.12
0xe035e6bd75aadde2c4e9a0797d4602a7bb90281a1743eeae0c551876c27c9fd3,Mikhail Alexandrovich,mikh:0123456@127.11.101.13
0xd7dcc4c6ea982bd9b3945fe77745f3ac0d140cfd88e1ab0ef7783fbb7c1e5f21,Tatiana Nikolayevna,tati:0123456@127.11.101.04
0x42cf556cc2de1599ccb6afb6b294d5a84d60ab7417a8ed3807c53095466aca81,Alexei Fedorovich,alex:0123456@127.11.101.05
0x19bacc29023408263be62f24488c1a6bb04e8948721c197210f36e6e25b312f6,Anastasia Dmitrievna,anas:0123456@127.11.101.19
0xb5f98ddebbfbe375814d130c2b9066a0fdac92f35858f56c585f51888e0346a9,Sergei Vladimirovich,serge:0123456@127.11.101.07
0xd87fb852cb1a03e73c90289d44efa755e8c22fdcebd3f7f487b5873ae88a1033,Olga Alexandrovna1,olga:0123456@127.11.101.08
0x909cb981af240fe437acde8db4e55972bb64392becda27a9da2c22d8fada29a5,Boris Ivanovich,bori:0123456@127.11.101.09
0x429e8f3c124cae917b7554367ac77ef081ca4e66bb0ebac0725aea1eb08ec4a1,Natalia Pavlovna,nata:0123456@127.11.101.10
